ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
35,Steve Bardo,1992,1996,G,6-5,190,April 5, 1968,University of Illinois at Urbana-Champaign
36,J.J. Barea,2007,2018,G,6-0,185,June 26, 1984,Northeastern University
37,Andrea Bargnani,2007,2016,F-C,7-0,245,October 26, 1985,
38,Cliff Barker,1950,1952,G,6-2,185,January 15, 1921,University of Kentucky
39,Tom Barker,1977,1979,C-F,6-11,225,March 11, 1955,University of Hawaii
40,Charles Barkley*,1985,2000,F,6-6,252,February 20, 1963,Auburn University
41,Erick Barkley,2001,2002,G,6-1,177,February 21, 1978,St. John's University
42,Don Barksdale*,1952,1955,F-C,6-6,200,March 31, 1923,University of California, Los Angeles
43,Harrison Barnes,2013,2018,F,6-8,210,May 30, 1992,University of North Carolina
44,Harry Barnes,1969,1969,F,6-3,205,July 25, 1945,Northeastern University
45,Jim Barnes,1965,1971,C-F,6-8,210,April 13, 1941,University of Texas at El Paso
46,Marvin Barnes,1975,1980,F-C,6-8,210,July 27, 1952,Providence College
47,Matt Barnes,2004,2017,F,6-7,226,March 9, 1980,University of California, Los Angeles
48,Dick Barnett,1960,1974,G-F,6-4,190,October 2, 1936,Tennessee State University
49,Jim Barnett,1967,1977,G-F,6-4,170,July 7, 1944,University of Oregon
50,Nathaniel Barnett,1976,1976,G,6-3,175,January 29, 1953,University of Akron
51,John Barnhill,1963,1972,G,6-1,180,March 20, 1938,Tennessee State University
52,Norton Barnhill,1977,1977,G,6-4,205,July 15, 1953,Washington State University
53,Leo Barnhorst,1950,1954,F-G,6-4,190,May 11, 1924,University of Notre Dame
54,John Barr,1947,1947,F,6-3,205,August 8, 1918,Pennsylvania State University
55,Mike Barr,1973,1977,G,6-3,180,October 19, 1950,Duquesne University
56,Moe Barr,1971,1971,G,6-4,195,June 19, 1944,Duquesne University
57,Andre Barrett,2005,2008,G,5-10,172,February 21, 1982,Seton Hall University
58,Ernie Barrett,1954,1956,G-F,6-3,180,August 27, 1929,Kansas State University
59,Mike Barrett,1970,1973,G,6-2,155,September 5, 1943,West Virginia University Institute of Technology
60,Earl Barron,2006,2015,C,7-0,250,August 14, 1981,University of Memphis
61,Dana Barros,1990,2004,G,5-11,163,April 13, 1967,Boston College
62,Brent Barry,1996,2009,G,6-6,185,December 31, 1971,Oregon State University
63,Drew Barry,1998,2000,G,6-5,191,February 17, 1973,Georgia Institute of Technology
64,Jon Barry,1993,2006,G,6-4,195,July 25, 1969,University of the Pacific, Georgia Institute of Technology
65,Rick Barry*,1966,1980,F,6-7,205,March 28, 1944,University of Miami
66,Ed Bartels,1950,1951,F,6-5,195,October 8, 1925,North Carolina State University
67,Vic Bartolome,1972,1972,C,7-0,230,September 29, 1948,Oregon State University
68,Will Barton,2013,2018,G,6-6,175,January 6, 1991,University of Memphis
69,Eddie Basden,2006,2006,G,6-5,215,February 15, 1983,University of North Carolina at Charlotte
70,Jerry Baskerville,1976,1976,F,6-7,190,November 10, 1951,Temple University
71,Brandon Bass,2006,2017,F,6-8,250,April 30, 1985,Louisiana State University
72,Tim Bassett,1974,1980,F-C,6-8,225,April 1, 1951,University of Georgia
73,Maceo Baston,2003,2009,F,6-9,215,May 29, 1975,University of Michigan
74,Mengke Bateer,2002,2004,C,6-11,290,November 20, 1975,
75,Billy Ray Bates,1980,1983,G,6-4,210,May 31, 1956,Kentucky State University
76,Esteban Batista,2006,2007,F-C,6-10,270,September 2, 1983,
77,Mike Batiste,2003,2003,F,6-8,225,November 21, 1977,Arizona State University
78,Tony Battie,1998,2012,C-F,6-11,230,February 11, 1976,Texas Tech University
79,Shane Battier,2002,2014,F,6-8,220,September 9, 1978,Duke University
80,John Battle,1986,1995,G,6-2,175,November 9, 1962,Rutgers University
81,Kenny Battle,1990,1993,F,6-6,210,October 10, 1964,Northern Illinois University, University of Illinois at Urbana-Champaign
82,Dave Batton,1983,1984,C,6-10,240,March 26, 1956,University of Notre Dame
83,Lloyd Batts,1975,1975,G-F,6-4,185,May 9, 1951,University of Cincinnati
84,Nicolas Batum,2009,2018,F-G,6-8,200,December 14, 1988,
85,Johnny Baum,1970,1974,F,6-5,200,June 17, 1946,Temple University
86,Frankie Baumholtz,1947,1947,G,5-10,170,October 7, 1918,Ohio University
87,Lonny Baxter,2003,2006,F,6-8,260,January 27, 1979,University of Maryland
88,Jerryd Bayless,2009,2018,G,6-3,200,August 20, 1988,University of Arizona
89,Elgin Baylor*,1959,1972,F,6-5,225,September 16, 1934,Albertson College of Idaho, Seattle University
90,Howard Bayne,1968,1968,F,6-6,235,July 28, 1942,University of Tennessee
91,Aron Baynes,2013,2018,C,6-10,260,December 9, 1986,Washington State University
92,Sergei Bazarevich,1995,1995,G,6-2,168,March 16, 1965,
93,Kent Bazemore,2013,2018,G-F,6-5,201,July 1, 1989,Old Dominion University
94,Ed Beach,1951,1951,F,6-3,200,January 25, 1929,West Virginia University
95,Bradley Beal,2013,2018,G,6-5,207,June 28, 1993,University of Florida
96,Al Beard,1968,1968,C,6-9,200,April 27, 1942,Norfolk State University
97,Butch Beard,1970,1979,G,6-3,185,May 4, 1947,University of Louisville
98,Ralph Beard,1950,1951,G,5-10,175,December 2, 1927,University of Kentucky
99,Charles Beasley,1968,1971,G-F,6-5,190,September 23, 1945,Southern Methodist University
100,Jerome Beasley,2004,2004,F,6-10,237,May 17, 1980,Midland College, University of North Dakota
101,John Beasley,1968,1974,F-C,6-9,225,February 5, 1944,Texas A&M; University
102,Malik Beasley,2017,2018,G,6-5,196,November 26, 1996,Florida State University
103,Michael Beasley,2009,2018,F,6-9,235,January 9, 1989,Kansas State University
104,Zelmo Beaty*,1963,1975,C,6-9,225,October 25, 1939,Prairie View A&M; University
105,Rodrigue Beaubois,2010,2013,G,6-0,170,February 24, 1988,
106,Byron Beck,1968,1977,C-F,6-9,225,January 25, 1945,University of Denver
107,Corey Beck,1996,1999,G,6-1,190,May 27, 1971,South Plains College, University of Arkansas
108,Ernie Beck,1954,1961,G-F,6-4,190,December 11, 1931,University of Pennsylvania
109,Arthur Becker,1968,1973,F,6-7,205,January 12, 1942,Arizona State University
110,Moe Becker,1947,1947,G-F,6-1,185,February 24, 1917,Duquesne University
111,Bob Bedell,1968,1971,F,6-7,205,June 26, 1944,Stanford University
112,William Bedford,1987,1993,C,7-0,225,December 14, 1963,University of Memphis
113,Hank Beenders,1947,1949,C-F,6-6,185,June 2, 1916,Long Island University
114,Ron Behagen,1974,1980,F-C,6-9,185,January 14, 1951,University of Minnesota
115,Elmer Behnke,1952,1952,C,6-7,210,February 3, 1929,Bradley University
116,Marco Belinelli,2008,2018,G-F,6-5,210,March 25, 1986,
117,Charlie Bell,2002,2011,G,6-3,200,March 12, 1979,Michigan State University
118,Dennis Bell,1974,1976,F,6-5,185,June 2, 1951,Drake University
119,Jordan Bell,2018,2018,F,6-9,224,January 7, 1995,University of Oregon
120,Raja Bell,2001,2012,G,6-5,204,September 19, 1976,Boston University, Florida International University
121,Troy Bell,2004,2004,G,6-1,180,November 10, 1980,Boston College
122,Whitey Bell,1960,1961,G,6-0,180,September 13, 1932,North Carolina State University
123,Walt Bellamy*,1962,1975,C,6-11,225,July 24, 1939,Indiana University
124,DeAndre' Bembry,2017,2018,F,6-6,210,July 4, 1994,Saint Joseph's University
125,Irv Bemoras,1954,1957,F-G,6-3,185,November 18, 1930,University of Illinois at Urbana-Champaign
126,Leon Benbow,1975,1976,G,6-4,185,July 23, 1950,Jacksonville University
127,Dragan Bender,2017,2018,F,7-1,225,November 17, 1997,
128,Jonathan Bender,2000,2010,F,6-11,202,January 30, 1981,
129,Jerrelle Benimon,2015,2015,F,6-8,245,August 1, 1991,Georgetown University, Towson University
130,Benoit Benjamin,1986,2000,C,7-0,250,November 22, 1964,Creighton University
131,Corey Benjamin,1999,2003,G,6-6,200,February 24, 1978,Oregon State University
132,Anthony Bennett,2014,2017,F,6-8,245,March 14, 1993,University of Nevada, Las Vegas
133,Elmer Bennett,1995,1997,G,6-0,170,February 13, 1970,University of Notre Dame
134,Mario Bennett,1996,2000,F,6-6,235,August 1, 1973,Arizona State University
135,Mel Bennett,1976,1982,F,6-7,200,January 4, 1955,University of Pittsburgh
136,Spider Bennett,1969,1969,G,6-3,190,August 4, 1943,Winston-Salem State University
137,Tony Bennett,1993,1995,G,6-0,175,June 1, 1969,University of Wisconsin-Green Bay
138,Winston Bennett,1990,1992,F,6-7,210,February 9, 1965,University of Kentucky
139,David Benoit,1992,2001,F,6-8,220,May 9, 1968,University of Alabama
140,Keith Benson,2012,2012,C,6-11,240,August 13, 1988,Oakland University
141,Kent Benson,1978,1988,C,6-10,235,December 27, 1954,Indiana University
142,Ben Bentil,2017,2017,F,6-9,235,March 29, 1995,Providence College
143,Gene Berce,1950,1950,G-F,5-11,175,November 22, 1926,Marquette University
144,Gary Bergen,1957,1957,C,6-8,210,July 16, 1932,University of Utah
145,Larry Bergh,1970,1970,F,6-8,210,April 2, 1945,Weber State University
146,Ricky Berry,1989,1989,F,6-8,205,October 6, 1964,Oregon State University, San Jose State University
147,Walter Berry,1987,1989,F,6-8,215,May 14, 1964,St. John's University
148,Davis Bertans,2017,2018,F,6-10,210,November 12, 1992,
149,Del Beshore,1979,1980,G,5-11,165,November 29, 1956,California University of Pennslyvania
150,Travis Best,1996,2005,G,5-11,182,July 12, 1972,Georgia Institute of Technology
151,Patrick Beverley,2013,2018,G,6-1,185,July 12, 1988,University of Arkansas
152,Sim Bhullar,2015,2015,C,7-5,360,December 2, 1992,New Mexico State University
153,Wesley Bialosuknia,1968,1968,G,6-2,185,June 8, 1945,University of Connecticut
154,Al Bianchi,1957,1966,G,6-3,185,March 26, 1932,Bowling Green State University
155,Hank Biasatti,1947,1947,G,5-11,175,January 14, 1922,Long Island University
156,Henry Bibby,1973,1981,G,6-1,185,November 24, 1949,University of California, Los Angeles
157,Mike Bibby,1999,2012,G,6-1,190,May 13, 1978,University of Arizona
158,Ed Biedenbach,1969,1969,G,6-1,175,August 12, 1945,North Carolina State University
159,Andris Biedrins,2005,2014,C,6-11,240,April 2, 1986,
160,Don Bielke,1956,1956,C,6-7,240,,Valparaiso University
161,Bob Bigelow,1976,1979,F-G,6-7,215,December 26, 1953,University of Pennsylvania
162,Lionel Billingy,1975,1975,F-C,6-9,215,August 31, 1952,Duquesne University
163,Chauncey Billups,1998,2014,G,6-3,202,September 25, 1976,University of Colorado
164,Dave Bing*,1967,1978,G,6-3,180,November 24, 1943,Syracuse University
165,Joe Binion,1987,1987,F,6-8,235,March 26, 1961,North Carolina Agricultural and Technical State University
166,Khem Birch,2018,2018,C-F,6-9,220,September 28, 1992,University of Pittsburgh, University of Nevada, Las Vegas
167,Jabari Bird,2018,2018,G,6-6,197,July 3, 1994,University of California
168,Jerry Bird,1959,1959,F,6-6,210,February 2, 1935,University of Kentucky
169,Larry Bird*,1980,1992,F,6-9,220,December 7, 1956,Indiana State University
170,Otis Birdsong,1978,1989,G,6-3,190,December 9, 1955,University of Houston
171,Gale Bishop,1949,1949,F,6-3,195,June 4, 1922,Washington State University
172,Bismack Biyombo,2012,2018,C-F,6-9,255,August 28, 1992,
173,Nemanja Bjelica,2016,2018,F,6-10,240,May 9, 1988,
174,Uwe Blab,1986,1990,C,7-1,252,March 26, 1962,Indiana University
175,Charlie Black,1949,1952,F-C,6-5,200,June 15, 1921,University of Kansas
176,Norman Black,1981,1981,G,6-5,185,November 12, 1957,Saint Joseph's University
177,Tarik Black,2015,2018,C-F,6-9,250,November 22, 1991,University of Memphis, University of Kansas
178,Tom Black,1971,1971,C,6-10,220,July 9, 1941,South Dakota State University
179,Rolando Blackman,1982,1994,G,6-6,190,February 26, 1959,Kansas State University
180,Alex Blackwell,1993,1993,F,6-6,250,June 27, 1970,Monmouth University
181,Cory Blackwell,1985,1985,F,6-6,210,March 27, 1963,University of Wisconsin
182,James Blackwell,1995,1995,G,6-0,190,February 25, 1968,Dartmouth College
